Reporter,type_Reporter,Partner,type_Partner,Flow,Item_code,type_Item,Year,Reported_value,Final_value,Final_value_methodology,Balanced_value
AR,c,WL,g,X,S,s,2005,6458.06,6458.06,R_IMF,5870.205492
AR,c,WL,g,X,SA,s,2005,0,0,R_IMF,11.852602
AR,c,WL,g,X,SB,s,2005,NA,0,E1,9.042037
AR,c,WL,g,X,SC,s,2005,1304.41,1304.41,R_IMF,1331.411892
AR,c,WL,g,X,SD,s,2005,2729.1,2729.1,R_IMF,2512.239102
AR,c,WL,g,X,SE,s,2005,45.7,45.7,R_IMF,51.804928
AR,c,WL,g,X,SF,s,2005,0,0,R_IMF,93.160245
AR,c,WL,g,X,SG,s,2005,3.74,3.74,R_IMF,76.648326
AR,c,WL,g,X,SH,s,2005,51.08,51.08,R_IMF,82.036631
AR,c,WL,g,X,SI,s,2005,407.86,407.86,R_IMF,285.585519
AR,c,WL,g,X,SJ,s,2005,1597.94,1597.94,R_IMF,1102.409284
AR,c,WL,g,X,SK,s,2005,203.02,203.02,R_IMF,200.261343
AR,c,WL,g,X,SL,s,2005,115.21,115.21,R_IMF,113.753583
AR,c,WL,g,X,S,s,2006,7911.0151,7911.0151,R_IMF,7068.180932
AR,c,WL,g,X,SA,s,2006,5.7442,5.7442,R_IMF,16.760424
AR,c,WL,g,X,SB,s,2006,61.4198,61.4198,R_IMF,65.526591
AR,c,WL,g,X,SC,s,2006,1440.182,1440.182,R_IMF,1517.324829
AR,c,WL,g,X,SD,s,2006,3351.2726,3351.2726,R_IMF,3018.435735
AR,c,WL,g,X,SE,s,2006,20.1,20.1,R_IMF,39.374047
AR,c,WL,g,X,SF,s,2006,9.4549,9.4549,R_IMF,112.112883
AR,c,WL,g,X,SG,s,2006,118.0325,118.0325,R_IMF,109.447895
AR,c,WL,g,X,SH,s,2006,80.5124,80.5124,R_IMF,142.866929
AR,c,WL,g,X,SI,s,2006,563.4346,563.4346,R_IMF,340.537904
AR,c,WL,g,X,SJ,s,2006,1897.6138,1897.6138,R_IMF,1341.232674
AR,c,WL,g,X,SK,s,2006,239.1957,239.1957,R_IMF,232.037614
AR,c,WL,g,X,SL,s,2006,124.0526,124.0526,R_IMF,132.523406
AR,c,WL,g,X,S,s,2007,10045.7365,10045.7365,R_IMF,8720.634336
AR,c,WL,g,X,SA,s,2007,6.0927,6.0927,R_IMF,18.558207
AR,c,WL,g,X,SB,s,2007,77.4073,77.4073,R_IMF,81.187335
AR,c,WL,g,X,SC,s,2007,1715.2406,1715.2406,R_IMF,1838.562804
AR,c,WL,g,X,SD,s,2007,4325.1914,4325.1914,R_IMF,3725.683672
AR,c,WL,g,X,SE,s,2007,38.39,38.39,R_IMF,54.620013
AR,c,WL,g,X,SF,s,2007,9.5316,9.5316,R_IMF,114.630833
AR,c,WL,g,X,SG,s,2007,156.8338,156.8338,R_IMF,134.729322
AR,c,WL,g,X,SH,s,2007,96.6942,96.6942,R_IMF,152.303097
AR,c,WL,g,X,SI,s,2007,806.8727,806.8727,R_IMF,454.372764
AR,c,WL,g,X,SJ,s,2007,2401.8256,2401.8256,R_IMF,1711.98035
AR,c,WL,g,X,SK,s,2007,281.3768,281.3768,R_IMF,296.805366
AR,c,WL,g,X,SL,s,2007,130.2798,130.2798,R_IMF,137.200573
AR,c,WL,g,X,S,s,2008,11424.1491,11424.1491,R_IMF,10274.208156
AR,c,WL,g,X,SA,s,2008,9.0932,9.0932,R_IMF,23.160201
AR,c,WL,g,X,SB,s,2008,102.420901,102.420901,R_IMF,116.190659
AR,c,WL,g,X,SC,s,2008,1734.594215,1734.594215,R_IMF,2031.992732
AR,c,WL,g,X,SD,s,2008,4664.069641,4664.069641,R_IMF,4151.583024
AR,c,WL,g,X,SE,s,2008,19.1727,19.1727,R_IMF,45.05609
AR,c,WL,g,X,SF,s,2008,11.9525,11.9525,R_IMF,119.097178
AR,c,WL,g,X,SG,s,2008,157.748301,157.748301,R_IMF,142.535456
AR,c,WL,g,X,SH,s,2008,99.367701,99.367701,R_IMF,161.254434
AR,c,WL,g,X,SI,s,2008,1103.56241,1103.56241,R_IMF,663.422768
AR,c,WL,g,X,SJ,s,2008,3019.934826,3019.934826,R_IMF,2250.909995
