"Reporter";"Final_value_methodology";"n";"descripcion"
"AR";"R_IMF";"259";"Reported: IMF Balance of Payments (BOP)."
"AR";"E1";"1";"Simple derivation from reported figures."
"BR";"R_NAT";"260";"Reported: National source."
"CL";"R_OECD";"162";"Reported: OECD International Trade in Services Statistics (ITSS)."
"CL";"E0";"48";"Estimated as negligible/zero."
"CL";"E3";"24";"Estimated using past or future shares (partner world only)."
"CL";"E2";"18";"Estimation of most recent year(s) missing in primary source by using the national BOP growth rate (partner world only)."
"CL";"E5";"8";"Estimates based on regional growth rates (partner world only)."
"UY";"R_IMF";"256";"Reported: IMF Balance of Payments (BOP)."
"UY";"E0";"3";"Estimated as negligible/zero."
"UY";"E1";"1";"Simple derivation from reported figures."
