"variable";"descripcion";"tipo";"clase_en_R";"valores_distintos";"nulos_base_trabajo";"valores";"uso_en_el_analisis";"pct_nulos_base_completa"
"Reporter";"País que informa el flujo (código de 2 letras)";"Categórica";"character";"4";"0";"AR, BR, CL, UY";"Agrupa: país";"0,00"
"type_Reporter";"Tipo de economía que informa (c = país, g = grupo de países)";"Categórica";"character";"1";"0";"c";"No: constante en la base de trabajo";"0,00"
"Partner";"Economía de destino (WL = mundo)";"Categórica";"character";"1";"0";"WL";"Filtro: solo WL";"0,00"
"type_Partner";"Tipo de economía de destino (c = país, g = grupo de países)";"Categórica";"character";"1";"0";"g";"No: constante en la base de trabajo";"0,00"
"Flow";"Sentido del flujo (X = exportaciones, M = importaciones)";"Categórica";"character";"1";"0";"X";"Filtro: solo X";"0,00"
"Item_code";"Categoría de servicio EBOPS 2010 (S = total; SA a SL = 12 categorías)";"Categórica";"character";"13";"0";"S, SA, SB, SC, SD, SE, SF, SG, SH, SI, SJ, SK, SL";"Agrupa: categoría";"0,00"
"type_Item";"Tipo de ítem (s = estándar BPM6, d = derivado)";"Categórica";"character";"1";"0";"s";"No: constante en la base de trabajo";"0,00"
"Year";"Año de referencia";"Temporal (numérica)";"integer";"20";"0";"mín. 2005 / máx. 2024";"Eje temporal";"0,00"
"Reported_value";"Valor informado por la autoridad estadística del país (millones de USD corrientes)";"Numérica continua";"numeric";"874";"103";"mín. 0 / máx. 48.476,77";"Calidad del dato: vacío si el valor fue estimado";"96,51"
"Final_value";"Valor informado por el país, completado con estimaciones de OCDE-OMC donde falta (millones de USD corrientes)";"Numérica continua";"numeric";"891";"0";"mín. 0 / máx. 48.476,77";"Variable principal (D-015)";"0,00"
"Final_value_methodology";"Código del método con que se obtuvo el valor final (R = informado; E y M = estimado)";"Categórica";"character";"8";"0";"E0, E1, E2, E3, E5, R_IMF, R_NAT, R_OECD";"Calidad del dato";"0,00"
"Balanced_value";"Valor conciliado entre lo que informa el exportador y lo que informa el importador (millones de USD corrientes)";"Numérica continua";"numeric";"1040";"0";"mín. 1,45 / máx. 45.797,89";"Calidad del dato: comparación con el valor final";"0,00"
