"Year";"Argentina";"Chile";"argentina_sobre_chile_pct"
"2005";"6458,06";"6658,50";"-3,01"
"2006";"7911,02";"7366,10";"7,40"
"2007";"10045,74";"8553,40";"17,45"
"2008";"11424,15";"10070,90";"13,44"
"2009";"10544,62";"8077,10";"30,55"
"2010";"12817,14";"10199,10";"25,67"
"2011";"14496,98";"11980,10";"21,01"
"2012";"14247,10";"11302,60";"26,05"
"2013";"13679,89";"11086,90";"23,39"
"2014";"13396,37";"9744,60";"37,47"
"2015";"13213,51";"8557,40";"54,41"
"2016";"13424,71";"8600,30";"56,10"
"2017";"15506,20";"9193,60";"68,66"
"2018";"15342,16";"9225,70";"66,30"
"2019";"14802,42";"8462,40";"74,92"
"2020";"9491,74";"5554,50";"70,88"
"2021";"9588,74";"5972,90";"60,54"
"2022";"14413,68";"8529,40";"68,99"
"2023";"16110,57";"10136,09";"58,94"
"2024";"17122,41";"11743,83";"45,80"
