"Pais";"Year";"Final_value";"Balanced_value";"Reported_value";"origen";"diferencia_pct"
"Argentina";"2005";"6458,06";"5870,21";"6458,06";"Informado por fuente oficial";"-9,10"
"Argentina";"2006";"7911,02";"7068,18";"7911,02";"Informado por fuente oficial";"-10,65"
"Argentina";"2007";"10045,74";"8720,63";"10045,74";"Informado por fuente oficial";"-13,19"
"Argentina";"2008";"11424,15";"10274,21";"11424,15";"Informado por fuente oficial";"-10,07"
"Argentina";"2009";"10544,62";"9365,89";"10544,62";"Informado por fuente oficial";"-11,18"
"Argentina";"2010";"12817,14";"10442,20";"12817,14";"Informado por fuente oficial";"-18,53"
"Argentina";"2011";"14496,98";"11836,91";"14496,98";"Informado por fuente oficial";"-18,35"
"Argentina";"2012";"14247,10";"12050,55";"14247,10";"Informado por fuente oficial";"-15,42"
"Argentina";"2013";"13679,89";"11729,55";"13679,89";"Informado por fuente oficial";"-14,26"
"Argentina";"2014";"13396,37";"11363,85";"13396,37";"Informado por fuente oficial";"-15,17"
"Argentina";"2015";"13213,51";"11703,03";"13213,51";"Informado por fuente oficial";"-11,43"
"Argentina";"2016";"13424,71";"11970,17";"13424,71";"Informado por fuente oficial";"-10,83"
"Argentina";"2017";"15506,20";"13379,43";"15506,20";"Informado por fuente oficial";"-13,72"
"Argentina";"2018";"15342,16";"13337,10";"15342,16";"Informado por fuente oficial";"-13,07"
"Argentina";"2019";"14802,42";"13117,14";"14802,42";"Informado por fuente oficial";"-11,39"
"Argentina";"2020";"9491,74";"8942,91";"9491,74";"Informado por fuente oficial";"-5,78"
"Argentina";"2021";"9588,74";"9322,95";"9588,74";"Informado por fuente oficial";"-2,77"
"Argentina";"2022";"14413,68";"13111,66";"14413,68";"Informado por fuente oficial";"-9,03"
"Argentina";"2023";"16110,57";"14653,64";"16110,57";"Informado por fuente oficial";"-9,04"
"Argentina";"2024";"17122,41";"15314,45";"17122,41";"Informado por fuente oficial";"-10,56"
"Brasil";"2005";"14762,69";"14428,68";"14762,69";"Informado por fuente oficial";"-2,26"
"Brasil";"2006";"17730,53";"17988,78";"17730,53";"Informado por fuente oficial";"1,46"
"Brasil";"2007";"21824,00";"21680,69";"21824,00";"Informado por fuente oficial";"-0,66"
