"Pais";"Servicio";"part_2005";"part_2024";"cambio_pp"
"Argentina";"Otros servicios empresariales";"24,74";"34,55";"9,81"
"Argentina";"Viajes";"42,26";"28,96";"-13,30"
"Argentina";"Telecom., informática e información";"6,32";"16,41";"10,10"
"Argentina";"Transporte";"20,20";"12,83";"-7,36"
"Argentina";"Personales, culturales y recreativos";"3,14";"2,16";"-0,98"
"Argentina";"Propiedad intelectual";"0,79";"1,64";"0,85"
"Argentina";"Bienes y servicios del gobierno";"1,78";"1,43";"-0,36"
"Argentina";"Financieros";"0,06";"1,08";"1,02"
"Argentina";"Mantenimiento y reparación";"0,00";"0,53";"0,53"
"Argentina";"Seguros y pensiones";"0,00";"0,31";"0,31"
"Argentina";"Construcción";"0,71";"0,08";"-0,63"
"Argentina";"Manufactura sobre insumos de terceros";"0,00";"0,00";"0,00"
"Brasil";"Otros servicios empresariales";"40,45";"41,03";"0,58"
"Brasil";"Transporte";"17,65";"15,58";"-2,07"
"Brasil";"Viajes";"26,16";"15,14";"-11,01"
"Brasil";"Telecom., informática e información";"2,16";"12,73";"10,57"
"Brasil";"Mantenimiento y reparación";"0,04";"3,86";"3,82"
"Brasil";"Financieros";"3,44";"3,48";"0,04"
"Brasil";"Seguros y pensiones";"0,91";"2,30";"1,39"
"Brasil";"Propiedad intelectual";"0,69";"2,25";"1,57"
"Brasil";"Personales, culturales y recreativos";"0,38";"1,97";"1,60"
"Brasil";"Bienes y servicios del gobierno";"8,07";"1,59";"-6,49"
"Brasil";"Construcción";"0,05";"0,04";"-0,01"
"Brasil";"Manufactura sobre insumos de terceros";"0,00";"0,02";"0,02"
"Chile";"Transporte";"67,15";"36,08";"-31,07"
"Chile";"Viajes";"15,64";"26,40";"10,76"
"Chile";"Otros servicios empresariales";"10,11";"23,68";"13,57"
"Chile";"Telecom., informática e información";"3,58";"5,90";"2,32"
"Chile";"Seguros y pensiones";"2,36";"3,74";"1,38"
"Chile";"Financieros";"0,52";"2,94";"2,42"
"Chile";"Propiedad intelectual";"0,49";"0,63";"0,13"
"Chile";"Personales, culturales y recreativos";"0,14";"0,63";"0,49"
"Chile";"Manufactura sobre insumos de terceros";"0,00";"0,00";"0,00"
"Chile";"Mantenimiento y reparación";"0,00";"0,00";"0,00"
"Chile";"Construcción";"0,00";"0,00";"0,00"
"Chile";"Bienes y servicios del gobierno";"0,00";"0,00";"0,00"
"Uruguay";"Viajes";"45,33";"31,51";"-13,82"
"Uruguay";"Otros servicios empresariales";"3,93";"27,67";"23,74"
"Uruguay";"Telecom., informática e información";"7,66";"19,49";"11,83"
"Uruguay";"Transporte";"35,73";"11,28";"-24,45"
"Uruguay";"Financieros";"5,01";"4,99";"-0,02"
"Uruguay";"Propiedad intelectual";"0,01";"1,65";"1,64"
"Uruguay";"Personales, culturales y recreativos";"0,03";"1,42";"1,39"
"Uruguay";"Bienes y servicios del gobierno";"1,99";"0,85";"-1,14"
"Uruguay";"Seguros y pensiones";"0,32";"0,77";"0,45"
"Uruguay";"Mantenimiento y reparación";"0,00";"0,37";"0,37"
"Uruguay";"Manufactura sobre insumos de terceros";"0,00";"0,00";"0,00"
"Uruguay";"Construcción";"0,00";"0,00";"0,00"
