"Pais";"Year";"Item_code";"valor";"total";"participacion";"Servicio"
"Argentina";"2005";"SA";"0,00";"6458,06";"0,00";"Manufactura sobre insumos de terceros"
"Argentina";"2005";"SB";"0,00";"6458,06";"0,00";"Mantenimiento y reparación"
"Argentina";"2005";"SC";"1304,41";"6458,06";"20,20";"Transporte"
"Argentina";"2005";"SD";"2729,10";"6458,06";"42,26";"Viajes"
"Argentina";"2005";"SE";"45,70";"6458,06";"0,71";"Construcción"
"Argentina";"2005";"SF";"0,00";"6458,06";"0,00";"Seguros y pensiones"
"Argentina";"2005";"SG";"3,74";"6458,06";"0,06";"Financieros"
"Argentina";"2005";"SH";"51,08";"6458,06";"0,79";"Propiedad intelectual"
"Argentina";"2005";"SI";"407,86";"6458,06";"6,32";"Telecom., informática e información"
"Argentina";"2005";"SJ";"1597,94";"6458,06";"24,74";"Otros servicios empresariales"
"Argentina";"2005";"SK";"203,02";"6458,06";"3,14";"Personales, culturales y recreativos"
"Argentina";"2005";"SL";"115,21";"6458,06";"1,78";"Bienes y servicios del gobierno"
"Argentina";"2006";"SA";"5,74";"7911,02";"0,07";"Manufactura sobre insumos de terceros"
"Argentina";"2006";"SB";"61,42";"7911,02";"0,78";"Mantenimiento y reparación"
"Argentina";"2006";"SC";"1440,18";"7911,02";"18,20";"Transporte"
"Argentina";"2006";"SD";"3351,27";"7911,02";"42,36";"Viajes"
"Argentina";"2006";"SE";"20,10";"7911,02";"0,25";"Construcción"
"Argentina";"2006";"SF";"9,45";"7911,02";"0,12";"Seguros y pensiones"
"Argentina";"2006";"SG";"118,03";"7911,02";"1,49";"Financieros"
"Argentina";"2006";"SH";"80,51";"7911,02";"1,02";"Propiedad intelectual"
"Argentina";"2006";"SI";"563,43";"7911,02";"7,12";"Telecom., informática e información"
"Argentina";"2006";"SJ";"1897,61";"7911,02";"23,99";"Otros servicios empresariales"
"Argentina";"2006";"SK";"239,20";"7911,02";"3,02";"Personales, culturales y recreativos"
"Argentina";"2006";"SL";"124,05";"7911,02";"1,57";"Bienes y servicios del gobierno"
"Argentina";"2007";"SA";"6,09";"10045,74";"0,06";"Manufactura sobre insumos de terceros"
"Argentina";"2007";"SB";"77,41";"10045,74";"0,77";"Mantenimiento y reparación"
"Argentina";"2007";"SC";"1715,24";"10045,74";"17,07";"Transporte"
"Argentina";"2007";"SD";"4325,19";"10045,74";"43,05";"Viajes"
"Argentina";"2007";"SE";"38,39";"10045,74";"0,38";"Construcción"
"Argentina";"2007";"SF";"9,53";"10045,74";"0,09";"Seguros y pensiones"
"Argentina";"2007";"SG";"156,83";"10045,74";"1,56";"Financieros"
"Argentina";"2007";"SH";"96,69";"10045,74";"0,96";"Propiedad intelectual"
"Argentina";"2007";"SI";"806,87";"10045,74";"8,03";"Telecom., informática e información"
"Argentina";"2007";"SJ";"2401,83";"10045,74";"23,91";"Otros servicios empresariales"
"Argentina";"2007";"SK";"281,38";"10045,74";"2,80";"Personales, culturales y recreativos"
"Argentina";"2007";"SL";"130,28";"10045,74";"1,30";"Bienes y servicios del gobierno"
"Argentina";"2008";"SA";"9,09";"11424,15";"0,08";"Manufactura sobre insumos de terceros"
"Argentina";"2008";"SB";"102,42";"11424,15";"0,90";"Mantenimiento y reparación"
"Argentina";"2008";"SC";"1734,59";"11424,15";"15,18";"Transporte"
"Argentina";"2008";"SD";"4664,07";"11424,15";"40,83";"Viajes"
"Argentina";"2008";"SE";"19,17";"11424,15";"0,17";"Construcción"
"Argentina";"2008";"SF";"11,95";"11424,15";"0,10";"Seguros y pensiones"
"Argentina";"2008";"SG";"157,75";"11424,15";"1,38";"Financieros"
"Argentina";"2008";"SH";"99,37";"11424,15";"0,87";"Propiedad intelectual"
"Argentina";"2008";"SI";"1103,56";"11424,15";"9,66";"Telecom., informática e información"
"Argentina";"2008";"SJ";"3019,93";"11424,15";"26,43";"Otros servicios empresariales"
"Argentina";"2008";"SK";"350,90";"11424,15";"3,07";"Personales, culturales y recreativos"
"Argentina";"2008";"SL";"151,34";"11424,15";"1,32";"Bienes y servicios del gobierno"
"Argentina";"2009";"SA";"5,48";"10544,62";"0,05";"Manufactura sobre insumos de terceros"
"Argentina";"2009";"SB";"112,13";"10544,62";"1,06";"Mantenimiento y reparación"
"Argentina";"2009";"SC";"1526,62";"10544,62";"14,48";"Transporte"
"Argentina";"2009";"SD";"3988,86";"10544,62";"37,83";"Viajes"
"Argentina";"2009";"SE";"6,24";"10544,62";"0,06";"Construcción"
"Argentina";"2009";"SF";"15,14";"10544,62";"0,14";"Seguros y pensiones"
"Argentina";"2009";"SG";"106,88";"10544,62";"1,01";"Financieros"
"Argentina";"2009";"SH";"105,97";"10544,62";"1,00";"Propiedad intelectual"
"Argentina";"2009";"SI";"1187,84";"10544,62";"11,26";"Telecom., informática e información"
"Argentina";"2009";"SJ";"3056,52";"10544,62";"28,99";"Otros servicios empresariales"
"Argentina";"2009";"SK";"297,33";"10544,62";"2,82";"Personales, culturales y recreativos"
