"Pais";"Year";"suma_participaciones"
"Argentina";"2005";"100"
"Argentina";"2006";"100"
"Argentina";"2007";"100"
"Argentina";"2008";"100"
"Argentina";"2009";"100"
"Argentina";"2010";"100"
"Argentina";"2011";"100"
"Argentina";"2012";"100"
"Argentina";"2013";"100"
"Argentina";"2014";"100"
"Argentina";"2015";"100"
"Argentina";"2016";"100"
"Argentina";"2017";"100"
"Argentina";"2018";"100"
"Argentina";"2019";"100"
"Argentina";"2020";"100"
"Argentina";"2021";"100"
"Argentina";"2022";"100"
"Argentina";"2023";"100"
"Argentina";"2024";"100"
"Brasil";"2005";"100"
"Brasil";"2006";"100"
"Brasil";"2007";"100"
"Brasil";"2008";"100"
"Brasil";"2009";"100"
"Brasil";"2010";"100"
"Brasil";"2011";"100"
"Brasil";"2012";"100"
"Brasil";"2013";"100"
"Brasil";"2014";"100"
"Brasil";"2015";"100"
"Brasil";"2016";"100"
"Brasil";"2017";"100"
"Brasil";"2018";"100"
"Brasil";"2019";"100"
"Brasil";"2020";"100"
"Brasil";"2021";"100"
"Brasil";"2022";"100"
"Brasil";"2023";"100"
"Brasil";"2024";"100"
"Chile";"2005";"100"
"Chile";"2006";"100"
"Chile";"2007";"100"
"Chile";"2008";"100"
"Chile";"2009";"100"
"Chile";"2010";"100"
"Chile";"2011";"100"
"Chile";"2012";"100"
"Chile";"2013";"100"
"Chile";"2014";"100"
"Chile";"2015";"100"
"Chile";"2016";"100"
"Chile";"2017";"100"
"Chile";"2018";"100"
"Chile";"2019";"100"
"Chile";"2020";"100"
"Chile";"2021";"100"
"Chile";"2022";"100"
"Chile";"2023";"100"
"Chile";"2024";"100"
"Uruguay";"2005";"100"
"Uruguay";"2006";"100"
"Uruguay";"2007";"100"
"Uruguay";"2008";"100"
"Uruguay";"2009";"100"
"Uruguay";"2010";"100"
"Uruguay";"2011";"100"
"Uruguay";"2012";"100"
"Uruguay";"2013";"100"
"Uruguay";"2014";"100"
"Uruguay";"2015";"100"
"Uruguay";"2016";"100"
"Uruguay";"2017";"100"
"Uruguay";"2018";"100"
"Uruguay";"2019";"100"
"Uruguay";"2020";"100"
"Uruguay";"2021";"100"
"Uruguay";"2022";"100"
"Uruguay";"2023";"100"
"Uruguay";"2024";"100"
