"Pais";"Argentina";"Brasil";"Chile";"Uruguay";"metodo"
"Argentina";"1,00";"0,81";"0,92";"0,75";"Pearson, 2006-2024 (n = 19)"
"Brasil";"0,81";"1,00";"0,87";"0,70";"Pearson, 2006-2024 (n = 19)"
"Chile";"0,92";"0,87";"1,00";"0,69";"Pearson, 2006-2024 (n = 19)"
"Uruguay";"0,75";"0,70";"0,69";"1,00";"Pearson, 2006-2024 (n = 19)"
"Argentina";"1,00";"0,81";"0,87";"0,67";"Spearman, 2006-2024 (n = 19)"
"Brasil";"0,81";"1,00";"0,87";"0,68";"Spearman, 2006-2024 (n = 19)"
"Chile";"0,87";"0,87";"1,00";"0,63";"Spearman, 2006-2024 (n = 19)"
"Uruguay";"0,67";"0,68";"0,63";"1,00";"Spearman, 2006-2024 (n = 19)"
"Argentina";"1,00";"0,81";"0,84";"0,48";"Pearson, sin 2020-2022 (n = 16)"
"Brasil";"0,81";"1,00";"0,83";"0,56";"Pearson, sin 2020-2022 (n = 16)"
"Chile";"0,84";"0,83";"1,00";"0,43";"Pearson, sin 2020-2022 (n = 16)"
"Uruguay";"0,48";"0,56";"0,43";"1,00";"Pearson, sin 2020-2022 (n = 16)"
