"Pais";"Year";"valor";"tasa_var";"indice_2005"
"Argentina";"2005";"6458,06";NA;"100,00"
"Argentina";"2006";"7911,02";"22,50";"122,50"
"Argentina";"2007";"10045,74";"26,98";"155,55"
"Argentina";"2008";"11424,15";"13,72";"176,90"
"Argentina";"2009";"10544,62";"-7,70";"163,28"
"Argentina";"2010";"12817,14";"21,55";"198,47"
"Argentina";"2011";"14496,98";"13,11";"224,48"
"Argentina";"2012";"14247,10";"-1,72";"220,61"
"Argentina";"2013";"13679,89";"-3,98";"211,83"
"Argentina";"2014";"13396,37";"-2,07";"207,44"
"Argentina";"2015";"13213,51";"-1,36";"204,60"
"Argentina";"2016";"13424,71";"1,60";"207,88"
"Argentina";"2017";"15506,20";"15,50";"240,11"
"Argentina";"2018";"15342,16";"-1,06";"237,57"
"Argentina";"2019";"14802,42";"-3,52";"229,21"
"Argentina";"2020";"9491,74";"-35,88";"146,98"
"Argentina";"2021";"9588,74";"1,02";"148,48"
"Argentina";"2022";"14413,68";"50,32";"223,19"
"Argentina";"2023";"16110,57";"11,77";"249,46"
"Argentina";"2024";"17122,41";"6,28";"265,13"
"Brasil";"2005";"14762,69";NA;"100,00"
"Brasil";"2006";"17730,53";"20,10";"120,10"
"Brasil";"2007";"21824,00";"23,09";"147,83"
"Brasil";"2008";"27985,43";"28,23";"189,57"
"Brasil";"2009";"25195,31";"-9,97";"170,67"
"Brasil";"2010";"30060,85";"19,31";"203,63"
"Brasil";"2011";"36436,72";"21,21";"246,82"
"Brasil";"2012";"38195,68";"4,83";"258,73"
"Brasil";"2013";"37630,64";"-1,48";"254,90"
"Brasil";"2014";"39497,93";"4,96";"267,55"
"Brasil";"2015";"33674,74";"-14,74";"228,11"
"Brasil";"2016";"33053,80";"-1,84";"223,90"
"Brasil";"2017";"33257,43";"0,62";"225,28"
"Brasil";"2018";"34044,41";"2,37";"230,61"
"Brasil";"2019";"33033,12";"-2,97";"223,76"
"Brasil";"2020";"27513,93";"-16,71";"186,37"
"Brasil";"2021";"31481,82";"14,42";"213,25"
"Brasil";"2022";"40291,25";"27,98";"272,93"
"Brasil";"2023";"45372,86";"12,61";"307,35"
"Brasil";"2024";"48476,77";"6,84";"328,37"
"Chile";"2005";"6658,50";NA;"100,00"
"Chile";"2006";"7366,10";"10,63";"110,63"
"Chile";"2007";"8553,40";"16,12";"128,46"
"Chile";"2008";"10070,90";"17,74";"151,25"
"Chile";"2009";"8077,10";"-19,80";"121,31"
"Chile";"2010";"10199,10";"26,27";"153,17"
"Chile";"2011";"11980,10";"17,46";"179,92"
"Chile";"2012";"11302,60";"-5,66";"169,75"
"Chile";"2013";"11086,90";"-1,91";"166,51"
"Chile";"2014";"9744,60";"-12,11";"146,35"
"Chile";"2015";"8557,40";"-12,18";"128,52"
"Chile";"2016";"8600,30";"0,50";"129,16"
"Chile";"2017";"9193,60";"6,90";"138,07"
"Chile";"2018";"9225,70";"0,35";"138,56"
"Chile";"2019";"8462,40";"-8,27";"127,09"
"Chile";"2020";"5554,50";"-34,36";"83,42"
"Chile";"2021";"5972,90";"7,53";"89,70"
"Chile";"2022";"8529,40";"42,80";"128,10"
"Chile";"2023";"10136,09";"18,84";"152,23"
"Chile";"2024";"11743,83";"15,86";"176,37"
"Uruguay";"2005";"1311,28";NA;"100,00"
"Uruguay";"2006";"1387,43";"5,81";"105,81"
"Uruguay";"2007";"1833,45";"32,15";"139,82"
"Uruguay";"2008";"2276,74";"24,18";"173,63"
"Uruguay";"2009";"2319,66";"1,88";"176,90"
"Uruguay";"2010";"2688,16";"15,89";"205,00"
"Uruguay";"2011";"3641,91";"35,48";"277,74"
"Uruguay";"2012";"5224,12";"43,44";"398,40"
"Uruguay";"2013";"5118,97";"-2,01";"390,38"
"Uruguay";"2014";"4965,05";"-3,01";"378,64"
"Uruguay";"2015";"5193,80";"4,61";"396,09"
"Uruguay";"2016";"4900,84";"-5,64";"373,74"
"Uruguay";"2017";"5723,30";"16,78";"436,47"
"Uruguay";"2018";"5472,63";"-4,38";"417,35"
"Uruguay";"2019";"5523,82";"0,94";"421,25"
"Uruguay";"2020";"3914,92";"-29,13";"298,56"
"Uruguay";"2021";"4050,08";"3,45";"308,86"
"Uruguay";"2022";"5909,13";"45,90";"450,64"
"Uruguay";"2023";"6881,67";"16,46";"524,80"
"Uruguay";"2024";"6948,32";"0,97";"529,89"
