"Year";"Argentina_final";"Argentina_balanceado";"Chile_final";"Chile_balanceado";"argentina_sobre_chile_pct_final";"argentina_sobre_chile_pct_balanceado"
"2005";"6458,06";"5870,21";"6658,50";"6280,02";"-3,01";"-6,53"
"2006";"7911,02";"7068,18";"7366,10";"7293,84";"7,40";"-3,09"
"2007";"10045,74";"8720,63";"8553,40";"8602,34";"17,45";"1,38"
"2008";"11424,15";"10274,21";"10070,90";"10155,32";"13,44";"1,17"
"2009";"10544,62";"9365,89";"8077,10";"8739,39";"30,55";"7,17"
"2010";"12817,14";"10442,20";"10199,10";"10262,26";"25,67";"1,75"
"2011";"14496,98";"11836,91";"11980,10";"11718,98";"21,01";"1,01"
"2012";"14247,10";"12050,55";"11302,60";"11793,34";"26,05";"2,18"
"2013";"13679,89";"11729,55";"11086,90";"11647,68";"23,39";"0,70"
"2014";"13396,37";"11363,85";"9744,60";"11579,46";"37,47";"-1,86"
"2015";"13213,51";"11703,03";"8557,40";"11019,70";"54,41";"6,20"
"2016";"13424,71";"11970,17";"8600,30";"11349,21";"56,10";"5,47"
"2017";"15506,20";"13379,43";"9193,60";"12633,60";"68,66";"5,90"
"2018";"15342,16";"13337,10";"9225,70";"12726,26";"66,30";"4,80"
"2019";"14802,42";"13117,14";"8462,40";"12453,44";"74,92";"5,33"
"2020";"9491,74";"8942,91";"5554,50";"8183,90";"70,88";"9,27"
"2021";"9588,74";"9322,95";"5972,90";"9396,73";"60,54";"-0,79"
"2022";"14413,68";"13111,66";"8529,40";"12761,29";"68,99";"2,75"
"2023";"16110,57";"14653,64";"10136,09";"15627,35";"58,94";"-6,23"
"2024";"17122,41";"15314,45";"11743,83";"17587,36";"45,80";"-12,92"
