"Pais";"Item_code";"Servicio";"part_2005_final";"part_2005_balanceado";"part_2024_final";"part_2024_balanceado";"cambio_pp_final";"cambio_pp_balanceado";"misma_direccion"
"Argentina";"SJ";"Otros servicios empresariales";"24,74";"18,78";"34,55";"26,45";"9,81";"7,67";"Sí"
"Argentina";"SD";"Viajes";"42,26";"42,80";"28,96";"33,59";"-13,30";"-9,21";"Sí"
"Argentina";"SI";"Telecom., informática e información";"6,32";"4,87";"16,41";"10,03";"10,10";"5,16";"Sí"
"Argentina";"SC";"Transporte";"20,20";"22,68";"12,83";"16,88";"-7,36";"-5,80";"Sí"
"Argentina";"SK";"Personales, culturales y recreativos";"3,14";"3,41";"2,16";"3,72";"-0,98";"0,31";"No"
"Argentina";"SH";"Propiedad intelectual";"0,79";"1,40";"1,64";"2,13";"0,85";"0,73";"Sí"
"Argentina";"SL";"Bienes y servicios del gobierno";"1,78";"1,94";"1,43";"1,56";"-0,36";"-0,38";"Sí"
"Argentina";"SG";"Financieros";"0,06";"1,31";"1,08";"3,00";"1,02";"1,70";"Sí"
"Argentina";"SB";"Mantenimiento y reparación";"0,00";"0,15";"0,53";"0,85";"0,53";"0,70";"Sí"
"Argentina";"SF";"Seguros y pensiones";"0,00";"1,59";"0,31";"1,09";"0,31";"-0,49";"No"
"Argentina";"SE";"Construcción";"0,71";"0,88";"0,08";"0,24";"-0,63";"-0,64";"Sí"
"Argentina";"SA";"Manufactura sobre insumos de terceros";"0,00";"0,20";"0,00";"0,46";"0,00";"0,26";"No"
"Brasil";"SJ";"Otros servicios empresariales";"40,45";"25,95";"41,03";"29,92";"0,58";"3,96";"Sí"
"Brasil";"SC";"Transporte";"17,65";"29,23";"15,58";"26,86";"-2,07";"-2,36";"Sí"
"Brasil";"SD";"Viajes";"26,16";"25,73";"15,14";"17,29";"-11,01";"-8,44";"Sí"
"Brasil";"SI";"Telecom., informática e información";"2,16";"3,44";"12,73";"8,82";"10,57";"5,38";"Sí"
"Brasil";"SB";"Mantenimiento y reparación";"0,04";"2,94";"3,86";"3,15";"3,82";"0,21";"Sí"
"Brasil";"SG";"Financieros";"3,44";"3,68";"3,48";"4,71";"0,04";"1,03";"Sí"
"Brasil";"SF";"Seguros y pensiones";"0,91";"1,64";"2,30";"2,80";"1,39";"1,15";"Sí"
"Brasil";"SH";"Propiedad intelectual";"0,69";"0,90";"2,25";"2,15";"1,57";"1,25";"Sí"
"Brasil";"SK";"Personales, culturales y recreativos";"0,38";"0,56";"1,97";"1,75";"1,60";"1,18";"Sí"
"Brasil";"SL";"Bienes y servicios del gobierno";"8,07";"3,64";"1,59";"1,53";"-6,49";"-2,12";"Sí"
"Brasil";"SE";"Construcción";"0,05";"1,15";"0,04";"0,58";"-0,01";"-0,57";"Sí"
"Brasil";"SA";"Manufactura sobre insumos de terceros";"0,00";"1,12";"0,02";"0,45";"0,02";"-0,67";"No"
"Chile";"SC";"Transporte";"67,15";"58,38";"36,08";"42,57";"-31,07";"-15,81";"Sí"
"Chile";"SD";"Viajes";"15,64";"21,59";"26,40";"27,18";"10,76";"5,59";"Sí"
"Chile";"SJ";"Otros servicios empresariales";"10,11";"10,28";"23,68";"17,14";"13,57";"6,86";"Sí"
