"id";"hallazgo";"afirmacion";"indicador";"valor_final";"valor_balanceado";"criterio";"se_cumple_con_final";"se_cumple_con_balanceado"
"1.1";"1. Giro hacia el conocimiento (diap. 10)";"Otros servicios empresariales gana peso en los cuatro países";"Cambio de su participación 2005-2024";"Argentina +9,8 pp; Brasil +0,6 pp; Chile +13,6 pp; Uruguay +23,7 pp";"Argentina +7,7 pp; Brasil +4,0 pp; Chile +6,9 pp; Uruguay +10,5 pp";"Sube en los cuatro países";"Sí";"Sí"
"1.2";"1. Giro hacia el conocimiento (diap. 10)";"Telecom., informática e información gana peso en los cuatro países";"Cambio de su participación 2005-2024";"Argentina +10,1 pp; Brasil +10,6 pp; Chile +2,3 pp; Uruguay +11,8 pp";"Argentina +5,2 pp; Brasil +5,4 pp; Chile +1,3 pp; Uruguay +7,6 pp";"Sube en los cuatro países";"Sí";"Sí"
"1.3";"1. Giro hacia el conocimiento (diap. 10)";"Transporte pierde peso en los cuatro países";"Cambio de su participación 2005-2024";"Argentina -7,4 pp; Brasil -2,1 pp; Chile -31,1 pp; Uruguay -24,4 pp";"Argentina -5,8 pp; Brasil -2,4 pp; Chile -15,8 pp; Uruguay -12,0 pp";"Baja en los cuatro países";"Sí";"Sí"
"1.4";"1. Giro hacia el conocimiento (diap. 10)";"Viajes pierde peso en Argentina, Brasil y Uruguay; en Chile gana";"Cambio de su participación 2005-2024";"Argentina -13,3 pp; Brasil -11,0 pp; Chile +10,8 pp; Uruguay -13,8 pp";"Argentina -9,2 pp; Brasil -8,4 pp; Chile +5,6 pp; Uruguay -7,9 pp";"Baja en Argentina, Brasil y Uruguay, y sube en Chile";"Sí";"Sí"
"1.5";"1. Giro hacia el conocimiento (diap. 10)";"En Argentina, conocimiento pasa a ser más de la mitad de lo que exporta";"Participación de conocimiento (SI + SJ) de Argentina";"31,1% en 2005 y 51,0% en 2024";"23,6% en 2005 y 36,5% en 2024";"Mayor que 50% en 2024";"Sí";"No"
"1.6";"1. Giro hacia el conocimiento (diap. 10)";"Uruguay tuvo la mayor transformación hacia conocimiento";"Cambio de la participación de conocimiento 2005-2024";"Argentina +19,9 pp; Brasil +11,1 pp; Chile +15,9 pp; Uruguay +35,6 pp";"Argentina +12,8 pp; Brasil +9,3 pp; Chile +8,1 pp; Uruguay +18,2 pp";"El mayor aumento es el de Uruguay";"Sí";"Sí"
"1.7";"1. Giro hacia el conocimiento (diap. 10)";"En Argentina, otros servicios empresariales ya supera a viajes";"Categoría principal de Argentina en 2024 y su participación";"Otros servicios empresariales (34,6%)";"Viajes (33,6%)";"La principal es otros servicios empresariales";"Sí";"No"
"1.8";"1. Giro hacia el conocimiento (diap. 10)";"La canasta se diversificó en los cuatro países";"Cambio del peso de las 3 categorías más grandes, 2005-2024";"Argentina -7,3 pp; Brasil -12,5 pp; Chile -6,7 pp; Uruguay -10,0 pp";"Argentina -7,3 pp; Brasil -6,8 pp; Chile -3,4 pp; Uruguay -9,3 pp";"Baja en los cuatro países";"Sí";"Sí"
"2.1";"2. Argentina creció menos que Uruguay y Brasil (diap. 6 y 7)";"Argentina es tercera en crecimiento, detrás de Uruguay y Brasil";"Tasa anual compuesta 2005-2024, de mayor a menor";"Uruguay +9,2% > Brasil +6,5% > Argentina +5,3% > Chile +3,0%";"Uruguay +7,3% > Brasil +6,3% > Chile +5,6% > Argentina +5,2%";"Orden: Uruguay, Brasil, Argentina, Chile";"Sí";"No"
"2.2";"2. Argentina creció menos que Uruguay y Brasil (diap. 6 y 7)";"El orden no cambia si se mira solo 2005-2022 (años que Chile informó)";"Tasa anual compuesta 2005-2022, de mayor a menor";"Uruguay +9,3% > Brasil +6,1% > Argentina +4,8% > Chile +1,5%";"Uruguay +7,3% > Brasil +6,1% > Argentina +4,8% > Chile +4,3%";"Mismo orden que en 2005-2024 con la misma medida";"Sí";"No"
"2.3";"2. Argentina creció menos que Uruguay y Brasil (diap. 6 y 7)";"Desde 2006, Argentina exporta más que Chile todos los años";"Años de 2006-2024 en que Argentina supera a Chile y rango de la diferencia";"19 de 19 años; diferencia entre +7,4% y +74,9%";"14 de 19 años; diferencia entre -12,9% y +9,3%";"Los 19 años";"Sí";"No"
"2.4";"2. Argentina creció menos que Uruguay y Brasil (diap. 6 y 7)";"Chile tocó su máximo en 2011 y no lo volvió a superar";"Año del máximo de Chile";"2011";"2024";"2011";"Sí";"No"
"3.1";"3. La media engaña: Argentina es la que más veces cae (diap. 8 y 9)";"Argentina tiene la mediana de crecimiento anual más baja";"Mediana de la variación interanual, 2006-2024";"Argentina +1,6%; Brasil +5,0%; Chile +6,9%; Uruguay +4,6%";"Argentina +4,2%; Brasil +6,0%; Chile +11,3%; Uruguay +2,1%";"La menor es la de Argentina";"Sí";"No"
"3.2";"3. La media engaña: Argentina es la que más veces cae (diap. 8 y 9)";"Argentina es el país con más años de caída";"Años con variación interanual negativa (de 19)";"Argentina 8; Brasil 6; Chile 7; Uruguay 5";"Argentina 6; Brasil 6; Chile 6; Uruguay 6";"Argentina tiene más que cada uno de los otros";"Sí";"No"
"3.3";"3. La media engaña: Argentina es la que más veces cae (diap. 8 y 9)";"Los únicos años atípicos son de Argentina: 2020 y 2022";"Años atípicos (regla del boxplot, 1,5 rangos intercuartiles)";"Argentina 2020; Argentina 2022";"Argentina 2020; Argentina 2022; Chile 2020; Uruguay 2022";"Solo Argentina 2020 y 2022";"Sí";"No"
"3.4";"3. La media engaña: Argentina es la que más veces cae (diap. 8 y 9)";"El desvío de Argentina no es el más alto: Uruguay y Chile oscilan más";"Desvío de la variación interanual (puntos porcentuales)";"Argentina 17,6; Brasil 13,8; Chile 18,0; Uruguay 19,0";"Argentina 14,8; Brasil 13,8; Chile 15,4; Uruguay 15,9";"Uruguay y Chile, mayores que Argentina";"Sí";"Sí"
"4.1";"4. Pandemia: mayor caída y menor recuperación (diap. 9)";"Argentina tuvo la mayor caída en 2020";"Variación 2020 contra 2019";"Argentina -35,9%; Brasil -16,7%; Chile -34,4%; Uruguay -29,1%";"Argentina -31,8%; Brasil -22,5%; Chile -34,3%; Uruguay -21,7%";"La mayor caída es la de Argentina";"Sí";"No"
"4.2";"4. Pandemia: mayor caída y menor recuperación (diap. 9)";"Argentina tuvo la menor recuperación";"Variación 2024 contra 2019";"Argentina +15,7%; Brasil +46,8%; Chile +38,8%; Uruguay +25,8%";"Argentina +16,8%; Brasil +33,7%; Chile +41,2%; Uruguay +39,8%";"La menor es la de Argentina";"Sí";"Sí"
"D.1";"Distribución de la variable principal (diap. 4)";"Los valores por categoría tienen una distribución muy asimétrica a la derecha";"Media y mediana de las 960 filas de categorías (millones de USD)";"media 1.218,6; mediana 228,4";"media 1.220,6; mediana 243,0";"Media mayor que el doble de la mediana";"Sí";"Sí"
"D.2";"Distribución de la variable principal (diap. 4)";"Hay 150 valores en cero, que quedan fuera del histograma en escala logarítmica";"Cantidad de valores en cero (de 960)";"150";"0";"150";"Sí";"No"
