"Pais";"Year";"valor_final";"valor_balanceado";"diferencia_pct";"indice_2005_final";"indice_2005_balanceado";"tasa_var_final";"tasa_var_balanceado"
"Argentina";"2005";"6458,06";"5870,21";"-9,10";"100,00";"100,00";NA;NA
"Argentina";"2006";"7911,02";"7068,18";"-10,65";"122,50";"120,41";"22,50";"20,41"
"Argentina";"2007";"10045,74";"8720,63";"-13,19";"155,55";"148,56";"26,98";"23,38"
"Argentina";"2008";"11424,15";"10274,21";"-10,07";"176,90";"175,02";"13,72";"17,81"
"Argentina";"2009";"10544,62";"9365,89";"-11,18";"163,28";"159,55";"-7,70";"-8,84"
"Argentina";"2010";"12817,14";"10442,20";"-18,53";"198,47";"177,88";"21,55";"11,49"
"Argentina";"2011";"14496,98";"11836,91";"-18,35";"224,48";"201,64";"13,11";"13,36"
"Argentina";"2012";"14247,10";"12050,55";"-15,42";"220,61";"205,28";"-1,72";"1,80"
"Argentina";"2013";"13679,89";"11729,55";"-14,26";"211,83";"199,81";"-3,98";"-2,66"
"Argentina";"2014";"13396,37";"11363,85";"-15,17";"207,44";"193,59";"-2,07";"-3,12"
"Argentina";"2015";"13213,51";"11703,03";"-11,43";"204,60";"199,36";"-1,36";"2,98"
"Argentina";"2016";"13424,71";"11970,17";"-10,83";"207,88";"203,91";"1,60";"2,28"
"Argentina";"2017";"15506,20";"13379,43";"-13,72";"240,11";"227,92";"15,50";"11,77"
"Argentina";"2018";"15342,16";"13337,10";"-13,07";"237,57";"227,20";"-1,06";"-0,32"
"Argentina";"2019";"14802,42";"13117,14";"-11,39";"229,21";"223,45";"-3,52";"-1,65"
"Argentina";"2020";"9491,74";"8942,91";"-5,78";"146,98";"152,34";"-35,88";"-31,82"
"Argentina";"2021";"9588,74";"9322,95";"-2,77";"148,48";"158,82";"1,02";"4,25"
"Argentina";"2022";"14413,68";"13111,66";"-9,03";"223,19";"223,36";"50,32";"40,64"
"Argentina";"2023";"16110,57";"14653,64";"-9,04";"249,46";"249,63";"11,77";"11,76"
"Argentina";"2024";"17122,41";"15314,45";"-10,56";"265,13";"260,88";"6,28";"4,51"
"Brasil";"2005";"14762,69";"14428,68";"-2,26";"100,00";"100,00";NA;NA
"Brasil";"2006";"17730,53";"17988,78";"1,46";"120,10";"124,67";"20,10";"24,67"
"Brasil";"2007";"21824,00";"21680,69";"-0,66";"147,83";"150,26";"23,09";"20,52"
"Brasil";"2008";"27985,43";"28060,43";"0,27";"189,57";"194,48";"28,23";"29,43"
